,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
500,Bem Melhor,0.841,0.493,11,-7.099,0,0.0295,0.0139,2.46e-05,0.297,0.55,118.041,audio_features,00vOICbp9QDX7e0R9l0Vl6,spotify:track:00vOICbp9QDX7e0R9l0Vl6,https://api.spotify.com/v1/tracks/00vOICbp9QDX7e0R9l0Vl6,https://api.spotify.com/v1/audio-analysis/00vOICbp9QDX7e0R9l0Vl6,183051,4
501,Que Nem Criança,0.825,0.447,6,-11.829,0,0.105,0.326,0.0,0.11,0.53,130.028,audio_features,1ceM4rUT3e7ilZYSVqPKnO,spotify:track:1ceM4rUT3e7ilZYSVqPKnO,https://api.spotify.com/v1/tracks/1ceM4rUT3e7ilZYSVqPKnO,https://api.spotify.com/v1/audio-analysis/1ceM4rUT3e7ilZYSVqPKnO,254308,4
502,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",0.383,0.662,2,-5.162,1,0.0333,0.165,0.0,0.248,0.138,121.154,audio_features,225xvV8r1yKMHErSWivnow,spotify:track:225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/tracks/225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/audio-analysis/225xvV8r1yKMHErSWivnow,298760,4
503,Ain't No Rest For The Wicked - Original Version,0.635,0.914,0,-5.631,1,0.111,0.0597,0.0,0.601,0.922,156.014,audio_features,7tCHpjktA50ihtkLz6bAnn,spotify:track:7tCHpjktA50ihtkLz6bAnn,https://api.spotify.com/v1/tracks/7tCHpjktA50ihtkLz6bAnn,https://api.spotify.com/v1/audio-analysis/7tCHpjktA50ihtkLz6bAnn,175493,4
504,Alex Descends Into Hell For A Bottle Of Milk / Korova 1 - Remastered 2021,0.345,0.771,9,-9.794,1,0.0404,0.168,0.869,0.156,0.473,130.226,audio_features,0rL0dhQSaTFdtc9r0US4cH,spotify:track:0rL0dhQSaTFdtc9r0US4cH,https://api.spotify.com/v1/tracks/0rL0dhQSaTFdtc9r0US4cH,https://api.spotify.com/v1/audio-analysis/0rL0dhQSaTFdtc9r0US4cH,217913,4
505,Queiroga e a campanha antivacina de Bolsonaro,0.697,0.936,7,-4.608,1,0.113,0.0667,0.0,0.259,0.752,178.138,audio_features,5DBJacAWZSjDuvQr7pqCaU,spotify:track:5DBJacAWZSjDuvQr7pqCaU,https://api.spotify.com/v1/tracks/5DBJacAWZSjDuvQr7pqCaU,https://api.spotify.com/v1/audio-analysis/5DBJacAWZSjDuvQr7pqCaU,124056,4
506,Lovezinho - Jaloo Remix,0.886,0.474,4,-6.201,1,0.0444,0.284,0.0,0.0821,0.725,130.084,audio_features,3FWBCEaSdi7zuzATg3e2kd,spotify:track:3FWBCEaSdi7zuzATg3e2kd,https://api.spotify.com/v1/tracks/3FWBCEaSdi7zuzATg3e2kd,https://api.spotify.com/v1/audio-analysis/3FWBCEaSdi7zuzATg3e2kd,156760,4
507,Pretin,0.873,0.737,1,-7.507,0,0.137,0.00875,1.13e-06,0.0541,0.979,140.018,audio_features,513Fxx86UyyX3FPFNiZrej,spotify:track:513Fxx86UyyX3FPFNiZrej,https://api.spotify.com/v1/tracks/513Fxx86UyyX3FPFNiZrej,https://api.spotify.com/v1/audio-analysis/513Fxx86UyyX3FPFNiZrej,147600,4
508,Medianias,0.768,0.666,6,-7.034,0,0.0413,0.424,8.08e-05,0.16,0.462,124.013,audio_features,3KMXwHcGBBPZ1LHBEsiWrZ,spotify:track:3KMXwHcGBBPZ1LHBEsiWrZ,https://api.spotify.com/v1/tracks/3KMXwHcGBBPZ1LHBEsiWrZ,https://api.spotify.com/v1/audio-analysis/3KMXwHcGBBPZ1LHBEsiWrZ,165339,4
509,Pescador (feat. Zé Ibarra),0.499,0.461,11,-11.036,1,0.0394,0.495,3.07e-05,0.159,0.201,143.984,audio_features,6JH3r0jKhVeFYeY0bTqbwj,spotify:track:6JH3r0jKhVeFYeY0bTqbwj,https://api.spotify.com/v1/tracks/6JH3r0jKhVeFYeY0bTqbwj,https://api.spotify.com/v1/audio-analysis/6JH3r0jKhVeFYeY0bTqbwj,254881,4
